Favorite Count,Author,Link to Author,Cartridge Title,Link to Cart
101,Catatafish,https://www.lexaloffle.com/bbs/?uid=8336,Zedwolf,https://www.lexaloffle.com/bbs/?tid=36430
100,egordorichev,https://www.lexaloffle.com/bbs/?uid=24809,mapuzzle,https://www.lexaloffle.com/bbs/?tid=35224
100,extar,https://www.lexaloffle.com/bbs/?uid=41412,Dominion Ex,https://www.lexaloffle.com/bbs/?tid=36865
99,Astorek86,https://www.lexaloffle.com/bbs/?uid=28088,Mea's Castle,https://www.lexaloffle.com/bbs/?tid=39467
98,TylerRDavis,https://www.lexaloffle.com/bbs/?uid=49595,Alpine Ascent,https://www.lexaloffle.com/bbs/?tid=40791
98,kittenm4ster,https://www.lexaloffle.com/bbs/?uid=9551,Ghost House,https://www.lexaloffle.com/bbs/?tid=35492
98,RobbyDuguay,https://www.lexaloffle.com/bbs/?uid=11038,Nine Songs in Pico-8,https://www.lexaloffle.com/bbs/?tid=2619
98,2darray,https://www.lexaloffle.com/bbs/?uid=16330,Tiny Fisher,https://www.lexaloffle.com/bbs/?tid=31129
97,assemblerbot,https://www.lexaloffle.com/bbs/?uid=51756,Pico Off Road,https://www.lexaloffle.com/bbs/?tid=41897
97,pahammond,https://www.lexaloffle.com/bbs/?uid=33292,Bubble Bobble,https://www.lexaloffle.com/bbs/?tid=37748
97,krajzeg,https://www.lexaloffle.com/bbs/?uid=12861,Platformer Starter Kit,https://www.lexaloffle.com/bbs/?tid=30299
97,benjamin_soule,https://www.lexaloffle.com/bbs/?uid=9308,Moonrace,https://www.lexaloffle.com/bbs/?tid=40925
97,amidos2006,https://www.lexaloffle.com/bbs/?uid=32255,Steps,https://www.lexaloffle.com/bbs/?tid=41005
96,BoneVolt,https://www.lexaloffle.com/bbs/?uid=38130,Jack of Spades,https://www.lexaloffle.com/bbs/?tid=34544
96,Liquidream,https://www.lexaloffle.com/bbs/?uid=13822,SCUMM-8 (point & click engine in PICO-8),https://www.lexaloffle.com/bbs/?tid=29176
95,Lambdanaut,https://www.lexaloffle.com/bbs/?uid=44012,PicoWars - Advance Wars Demake,https://www.lexaloffle.com/bbs/?tid=38084
95,cubee,https://www.lexaloffle.com/bbs/?uid=42963,Ninja Cat,https://www.lexaloffle.com/bbs/?tid=38451
94,J-Fry,https://www.lexaloffle.com/bbs/?uid=11158,Terrain Renderer,https://www.lexaloffle.com/bbs/?tid=2582
94,freds72,https://www.lexaloffle.com/bbs/?uid=25532,snow!,https://www.lexaloffle.com/bbs/?tid=36092
94,managore,https://www.lexaloffle.com/bbs/?uid=15740,"PERISHER, a CELESTE mod",https://www.lexaloffle.com/bbs/?tid=27694
94,alanxoc3,https://www.lexaloffle.com/bbs/?uid=17205,The Story of Zeldo,https://www.lexaloffle.com/bbs/?tid=29233
93,nemo_dev,https://www.lexaloffle.com/bbs/?uid=50222,Nemonic Crypt,https://www.lexaloffle.com/bbs/?tid=43379
93,benjamin_soule,https://www.lexaloffle.com/bbs/?uid=9308,chrysopoeia,https://www.lexaloffle.com/bbs/?tid=29980
93,Artridge,https://www.lexaloffle.com/bbs/?uid=35094,Dodge,https://www.lexaloffle.com/bbs/?tid=34986
93,Pavilion,https://www.lexaloffle.com/bbs/?uid=48919,Pico Lake,https://www.lexaloffle.com/bbs/?tid=43659
93,st33d,https://www.lexaloffle.com/bbs/?uid=38689,Flip Knight,https://www.lexaloffle.com/bbs/?tid=40906
